,valor,metragem,nquartos,nsuites,nchuveiros,nelevador,nvagas,condominio,proximometro
132,1300000,65,1,1,1,2,1,740,Sim
133,766000,64,2,1,1,3,2,720,Sim
134,720000,72,1,0,1,2,0,500,Sim
135,2700000,128,3,3,0,2,3,2200,Não
136,820000,99,3,1,1,2,1,1076,Sim
137,800000,42,1,0,1,2,1,1259,Sim
138,1790000,100,3,1,1,2,2,1450,Não
139,1650000,128,3,3,0,2,3,1800,Sim
140,880000,77,2,1,1,2,1,950,Sim
141,840000,96,2,0,1,9,0,990,Sim
142,600000,50,2,0,1,2,1,640,Sim
143,1990000,128,3,2,0,2,2,1490,Não
144,670000,74,3,1,1,3,1,1260,Não
145,2300000,237,3,1,1,2,2,400,Sim
146,1100000,82,3,1,1,2,2,1561,Não
147,990000,71,2,1,1,2,2,850,Sim
148,700000,94,3,0,2,2,1,1296,Sim
149,3860000,236,3,3,0,3,4,3200,Sim
150,1270000,90,3,1,1,2,1,1200,Sim
151,1900000,133,3,3,0,2,2,2700,Sim
152,1500000,189,3,1,1,2,0,2600,Sim
153,790000,72,1,0,1,2,1,1295,Sim
154,1500000,108,3,3,0,2,2,1200,Sim
155,750000,91,3,0,2,2,1,1129,Sim
156,1280000,68,2,0,1,2,1,810,Sim
157,760000,68,2,1,1,2,1,1129,Sim
158,850000,120,3,0,1,1,1,833,Sim
159,7985000,600,4,1,1,2,4,10000,Não
160,1301000,94,3,1,1,4,2,1453,Sim
161,910000,62,2,1,1,2,2,1100,Não
162,3200000,100,2,1,1,4,2,1650,Sim
163,1200000,136,2,0,1,2,0,1200,Sim
164,2000000,85,2,2,0,2,2,850,Sim
165,1550000,133,3,2,1,3,2,1800,Sim
166,620000,79,2,0,1,2,0,1080,Não
167,1350000,65,2,1,1,2,1,500,Sim
168,745000,90,3,0,1,2,0,1160,Sim
169,1280000,70,2,1,1,2,2,615,Não
170,555000,50,2,0,1,2,1,520,Sim
171,990000,69,2,1,1,2,1,980,Sim
172,1300000,190,3,3,0,2,3,2200,Não
173,2650000,230,3,2,1,2,2,5200,Sim
174,1000000,85,2,1,1,2,2,1360,Sim
175,1800000,85,3,1,1,3,3,1200,Sim
176,1830000,115,3,1,1,4,3,1670,Não
177,1490000,98,2,1,1,2,1,1425,Sim
178,2700000,121,1,1,1,2,2,2050,Sim
179,400000,55,2,0,1,2,0,370,Sim
180,720000,83,2,0,1,3,1,1125,Sim
181,640000,74,2,1,1,2,1,1000,Sim
182,1625000,156,4,2,1,2,4,3400,Não
183,690000,35,1,0,1,2,0,240,Sim
184,1900000,100,2,2,0,2,2,977,Sim
185,955000,87,3,0,1,2,1,964,Sim
186,1170212,69,2,1,1,2,1,700,Não
187,1750000,160,3,3,1,2,2,3300,Sim
188,1200000,65,1,1,1,3,1,900,Sim
189,1450000,136,3,0,2,2,2,2246,Sim
190,2380000,177,3,3,0,2,3,2654,Não
191,850000,109,2,1,1,2,0,1300,Sim
192,870000,60,2,1,1,2,2,735,Sim
