valor
610000
500000
1200000
900000
820000
1280000
690000
840000
2100000
880000
750000
1600000
1300000
900000
923000
2000000
2700000
3500000
1280000
2150000
2100000
745000
2380000
955000
2250000
750000
3400000
690000
900000
620000
780000
2450000
1100000
1750000
685000
640000
2250000
1900000
890000
650000
1090000
800000
790000
740000
5058100
650000
880000
550000
1750000
1650000
700000
1790000
880000
1295000
1240000
880000
740000
2650000
990000
1595900
1200000
940000
1250000
3300000
670000
695000
1830000
1270000
410000
1300000
2300000
840000
950000
1350000
490000
680000
1171000
2100000
1500000
1500000
1750000
3200000
688000
1330000
700000
720000
850000
960000
1300000
705000
1300000
1399000
532000
840000
766000
1000000
2700000
850000
1590000
1050000
620000
650000
860000
3120000
699000
555000
1800000
2022000
620000
1490000
1000000
1550000
2850000
800000
1240000
1280000
720000
910000
1490000
1920000
1140000
700000
600000
1450000
1500000
1320000
715000
900000
2200000
1301000
1170212
2250000
850000
760000
1625000
650000
980000
3860000
1300000
1900000
995000
2500000
660000
700000
1290000
750000
870000
1290000
1095000
1850000
2320000
1250000
400000
1290000
